Slot,Square,Multiply,Reduce
1586,41,42,41
1587,0,42,41
1588,41,42,41
1589,0,42,41
1590,0,42,41
1591,0,42,41
1592,0,42,41
1593,41,42,41
1594,0,42,41
1595,41,42,41
1596,42,42,0
1597,0,42,41
1598,0,42,41
1599,0,42,41
1600,42,42,0
1601,41,0,41
1602,0,42,41
1603,0,42,41
1604,0,42,41
1605,0,42,41
1606,0,42,41
1607,0,42,41
1608,0,42,41
1609,0,42,41
1610,0,42,41
1611,0,42,41
1612,0,42,41
1613,41,0,41
1614,41,42,41
1615,0,42,41
1616,0,42,41
1617,0,42,41
1618,42,42,42
1619,0,42,41
1620,0,42,41
1621,0,42,41
1622,41,0,41
1623,0,42,41
1624,0,42,41
1625,0,0,41
1626,41,0,41
1627,0,42,41
1628,41,42,41
1629,0,42,41
1630,0,42,41
1631,0,42,41
1632,41,0,41
1633,0,42,41
1634,0,42,41
1635,0,42,41
1636,0,42,41
1637,0,42,41
1638,0,42,41
1639,41,42,41
1640,0,42,41
1641,0,42,41
1642,0,42,41
1643,0,42,41
1644,0,42,41
1645,0,42,41
1646,41,0,41
1647,0,42,41
1648,0,42,41
1649,0,42,41
1650,0,42,41
1651,0,42,41
1652,0,42,41
1653,0,42,41
1654,0,42,41
1655,0,42,41
1656,0,42,41
1657,0,42,41
1658,0,42,41
